make,model,vehicleclass,enginesize,cylinders,transmission,fueltype,cityconsumption,hwyconsumption,combconsumption,combmpg,co2emission
Acura,Ilx,Compact,2,4,Automatic Select Shift 5 Speed,Premium Gasoline,9.9,6.7,8.5,33,196
Acura,Ilx,Compact,2.4,4,Manual 6 Speed,Premium Gasoline,11.2,7.7,9.6,29,221
Acura,Ilx Hybrid,Compact,1.5,4,Continuously Variable 7 Speed,Premium Gasoline,6,5.8,5.9,48,136
Acura,Mdx 4Wd,SUV Small,3.5,6,Automatic Select Shift 6 Speed,Premium Gasoline,12.7,9.1,11.1,25,255
Acura,Rdx Awd,SUV Small,3.5,6,Automatic Select Shift 6 Speed,Premium Gasoline,12.1,8.7,10.6,27,244
Acura,Rlx,Mid Size,3.5,6,Automatic Select Shift 6 Speed,Premium Gasoline,11.9,7.7,10,28,230
Acura,Tl,Mid Size,3.5,6,Automatic Select Shift 6 Speed,Premium Gasoline,11.8,8.1,10.1,28,232
Acura,Tl Awd,Mid Size,3.7,6,Automatic Select Shift 6 Speed,Premium Gasoline,12.8,9,11.1,25,255
Acura,Tl Awd,Mid Size,3.7,6,Manual 6 Speed,Premium Gasoline,13.4,9.5,11.6,24,267
Acura,Tsx,Compact,2.4,4,Automatic Select Shift 5 Speed,Premium Gasoline,10.6,7.5,9.2,31,212
Acura,Tsx,Compact,2.4,4,Manual 6 Speed,Premium Gasoline,11.2,8.1,9.8,29,225
Acura,Tsx,Compact,3.5,6,Automatic Select Shift 5 Speed,Premium Gasoline,12.1,8.3,10.4,27,239
Alfa Romeo,4C,Two Seater,1.8,4,Automated Manual 6 Speed,Premium Gasoline,9.7,6.9,8.4,34,193
Aston Martin,Db9,Minicompact,5.9,12,Automatic 6 Speed,Premium Gasoline,18,12.6,15.6,18,359
Aston Martin,Rapide,Subcompact,5.9,12,Automatic 6 Speed,Premium Gasoline,18,12.6,15.6,18,359
Aston Martin,V8 Vantage,Two Seater,4.7,8,Automated Manual 7 Speed,Premium Gasoline,17.4,11.3,14.7,19,338
Aston Martin,V8 Vantage,Two Seater,4.7,8,Manual 6 Speed,Premium Gasoline,18.1,12.2,15.4,18,354
Aston Martin,V8 Vantage S,Two Seater,4.7,8,Automated Manual 7 Speed,Premium Gasoline,17.4,11.3,14.7,19,338
Aston Martin,V8 Vantage S,Two Seater,4.7,8,Manual 6 Speed,Premium Gasoline,18.1,12.2,15.4,18,354
Aston Martin,Vanquish,Minicompact,5.9,12,Automatic 6 Speed,Premium Gasoline,18,12.6,15.6,18,359
Audi,A4,Compact,2,4,Continuously Variable 8 Speed,Premium Gasoline,9.9,7.4,8.8,32,202
Audi,A4 Quattro,Compact,2,4,Automatic Select Shift 8 Speed,Premium Gasoline,11.5,8.1,10,28,230
Audi,A4 Quattro,Compact,2,4,Manual 6 Speed,Premium Gasoline,10.8,7.5,9.3,30,214
Audi,A5 Cabriolet Quattro,Subcompact,2,4,Automatic Select Shift 8 Speed,Premium Gasoline,11.5,8.1,10,28,230
Audi,A5 Quattro,Subcompact,2,4,Automatic Select Shift 8 Speed,Premium Gasoline,11.5,8.1,10,28,230
Audi,A5 Quattro,Subcompact,2,4,Manual 6 Speed,Premium Gasoline,10.8,7.5,9.3,30,214
Audi,A6 Quattro,Mid Size,2,4,Automatic Select Shift 8 Speed,Premium Gasoline,12,8.1,10.2,28,235
Audi,A6 Quattro,Mid Size,3,6,Automatic Select Shift 8 Speed,Premium Gasoline,12.8,8.6,10.9,26,251
Audi,A6 Quattro Tdi (Modified),Mid Size,3,6,Automatic Select Shift 8 Speed,Diesel,9.8,6.2,8.1,35,217
Audi,A7 Quattro,Mid Size,3,6,Automatic Select Shift 8 Speed,Premium Gasoline,13.3,8.5,11.2,25,262
Audi,A7 Quattro Tdi (Modified),Mid Size,3,6,Automatic Select Shift 8 Speed,Diesel,9.8,6.2,8.1,35,217
Audi,A8,Mid Size,3,6,Automatic Select Shift 8 Speed,Premium Gasoline,13.1,8.8,11.2,25,258
Audi,A8,Mid Size,4,8,Automatic Select Shift 8 Speed,Premium Gasoline,13.7,8.3,11.3,25,265
Audi,A8 Tdi (Modified),Mid Size,3,6,Automatic Select Shift 8 Speed,Diesel,9.8,6.5,8.4,34,224
Audi,A8L,Full Size,3,6,Automatic Select Shift 8 Speed,Premium Gasoline,13.1,8.8,11.2,25,258
Audi,A8L,Full Size,4,8,Automatic Select Shift 8 Speed,Premium Gasoline,14.7,9.7,12.5,23,288
Audi,A8L,Full Size,6.3,12,Automatic Select Shift 8 Speed,Premium Gasoline,18.7,11.5,15.5,18,363
Audi,A8L Tdi (Modified),Full Size,3,6,Automatic Select Shift 8 Speed,Diesel,9.8,6.5,8.4,34,224
Audi,Allroad Quattro,Station Wagon Small,2,4,Automatic Select Shift 8 Speed,Premium Gasoline,11.8,8.8,10.5,27,242
Audi,Q5,SUV Small,2,4,Automatic Select Shift 8 Speed,Premium Gasoline,12,8.5,10.4,27,239
